period,nswprice,nswdemand,vicdemand,class,dates
0.5319149999999999,0.071064,0.522017,0.422915,1,2015-01-01
0.042553,0.10796199999999999,0.424576,0.422915,1,2015-01-01
0.29787199999999997,0.028551999999999998,0.248587,0.165717,0,2015-01-01
0.23404299999999997,0.027770999999999997,0.215858,0.216727,0,2015-01-01
0.680851,0.093461,0.6499550000000001,0.422915,1,2015-01-01
0.042553,0.049388,0.3884260000000001,0.422915,0,2015-01-01
0.87234,0.090068,0.612169,0.422915,1,2015-01-01
1.0,0.086916,0.388129,0.422915,1,2015-01-01
0.808511,0.088237,0.271497,0.422915,1,2015-01-01
0.702128,0.08142200000000001,0.384112,0.322631,0,2015-01-01
0.29787199999999997,0.055662,0.419072,0.422915,1,2015-01-01
0.6382979999999999,0.028522000000000002,0.598631,0.434749,0,2015-01-01
0.42553199999999997,0.088327,0.576168,0.422915,1,2015-01-01
0.744681,0.067551,0.453288,0.422915,0,2015-01-01
0.87234,0.040770999999999995,0.43127,0.36898000000000003,0,2015-01-01
0.87234,0.044013,0.733413,0.53651,0,2015-01-01
0.021277,0.048547,0.21719699999999997,0.422915,0,2015-01-01
0.042553,0.028312,0.289348,0.364578,0,2015-01-01
0.787234,0.028762,0.4425770000000001,0.27757600000000004,0,2015-01-01
0.659574,0.099526,0.511009,0.422915,1,2015-01-02
0.10638299999999999,0.031554,0.261678,0.26696,0,2015-01-02
0.276596,0.068242,0.163939,0.422915,1,2015-01-02
0.808511,0.090068,0.404641,0.422915,1,2015-01-02
0.06383,0.021286000000000003,0.11618599999999996,0.284827,0,2015-01-02
0.6382979999999999,0.030023,0.328474,0.142413,0,2015-01-02
0.6382979999999999,0.029332,0.407617,0.352926,0,2015-01-02
0.8510639999999999,0.046806,0.320143,0.422915,0,2015-01-02
0.8510639999999999,0.027500999999999998,0.40821199999999996,0.4632310000000001,0,2015-01-02
0.042553,0.031764,0.443767,0.460901,0,2015-01-02
0.29787199999999997,0.042272000000000004,0.564118,0.49171400000000004,0,2015-01-02
0.787234,0.089138,0.49836400000000003,0.4448470000000001,1,2015-01-02
0.9574469999999999,0.034196,0.436924,0.33324699999999996,0,2015-01-02
0.46808500000000003,0.06605,0.538233,0.373641,1,2015-01-02
0.8510639999999999,0.028462,0.402856,0.38814099999999996,0,2015-01-02
0.085106,0.044944,0.293216,0.403677,0,2015-01-02
0.0,0.03957,0.393335,0.352667,0,2015-01-02
0.255319,0.062266999999999996,0.10711099999999996,0.422915,0,2015-01-02
0.170213,0.031284,0.200684,0.281978,0,2015-01-02
0.553191,0.029512,0.39467399999999997,0.334024,1,2015-01-02
0.10638299999999999,0.041492,0.129575,0.422915,0,2015-01-02
0.10638299999999999,0.049688,0.148021,0.422915,0,2015-01-02
0.9574469999999999,0.036898,0.509372,0.409373,0,2015-01-02
0.765957,0.030563,0.379203,0.253496,0,2015-01-03
0.170213,0.051428999999999996,0.133145,0.422915,0,2015-01-03
